Reaction;Subsystem
HMR_4686;Tyrosine metabolism
HMR_4687;Tyrosine metabolism
HMR_4702;Tyrosine metabolism
HMR_4703;Tyrosine metabolism
HMR_4704;Tyrosine metabolism
HMR_7689;Tyrosine metabolism
HMR_7701;Tyrosine metabolism
HMR_8094;Tyrosine metabolism
HMR_8529;Tyrosine metabolism
HMR_8530;Tyrosine metabolism
HMR_8533;Tyrosine metabolism
HMR_8534;Tyrosine metabolism
HMR_8535;Tyrosine metabolism
HMR_8537;Tyrosine metabolism
HMR_8541;Tyrosine metabolism
HMR_8542;Tyrosine metabolism
HMR_8540;Tyrosine metabolism
HMR_9733;Tyrosine metabolism
HMR_9734;Tyrosine metabolism
HMR_3206;Valine, leucine, and isoleucine metabolism
HMR_3208;Valine, leucine, and isoleucine metabolism
HMR_3211;Valine, leucine, and isoleucine metabolism
HMR_3213;Valine, leucine, and isoleucine metabolism
HMR_3215;Valine, leucine, and isoleucine metabolism
HMR_3747;Valine, leucine, and isoleucine metabolism
HMR_3744;Valine, leucine, and isoleucine metabolism
HMR_3757;Valine, leucine, and isoleucine metabolism
HMR_3761;Valine, leucine, and isoleucine metabolism
HMR_3777;Valine, leucine, and isoleucine metabolism
HMR_3778;Valine, leucine, and isoleucine metabolism
HMR_3795;Valine, leucine, and isoleucine metabolism
HMR_4797;Valine, leucine, and isoleucine metabolism
HMR_6417;Valine, leucine, and isoleucine metabolism
HMR_6419;Valine, leucine, and isoleucine metabolism
HMR_6420;Valine, leucine, and isoleucine metabolism
HMR_6421;Valine, leucine, and isoleucine metabolism
HMR_6422;Valine, leucine, and isoleucine metabolism
HMR_6923;Valine, leucine, and isoleucine metabolism
HMR_3765;Valine, leucine, and isoleucine metabolism
HMR_6924;Valine, leucine, and isoleucine metabolism
HMR_8088;Valine, leucine, and isoleucine metabolism
HMR_8787;Valine, leucine, and isoleucine metabolism
HMR_3940;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4214;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4216;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4218;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4219;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4220;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4222;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4224;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4225;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4231;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4232;Phenylalanine, tyrosine and tryptophan biosynthesis
